Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.12,0,0.0628142325939325275507818842,0.0628142325939325,0.0622853771191193,0.0628142325939325,0.0622853771191193,0,0.0000000,0.0000000,0,4.1966790489392715120391838117,43.789700693772951372240628312,51.394962669485219258671344214,1545912000
21.13,0,0.0628122601435269055507818842,0.0628122601435269,0.0622838880387106,0.0628122601435269,0.0622838880387106,0,0.0000000,0.0000000,0,4.1960074672349705357300002332,43.782467789042302152179287385,51.390819273231069143731029852,1546644000
21.14,0,0.0628102991029292825507818842,0.0628102991029293,0.0622824097049123,0.0628102991029293,0.0622824097049123,0,0.0000000,0.0000000,0,4.195336557787789288774426505,43.775217886634442254812604131,51.386664345507285668518766063,1547375000
21.15,0,0.0628083393878277955507818842,0.0628083393878278,0.0622809320346259,0.0628083393878278,0.0622809320346259,0,0.0000000,0.0000000,0,4.1946657450448318461567856467,43.767984410071824754065925478,51.382520294696755151027232121,1548108000
21.16,0,0.0628063721793839255507818842,0.0628063721793839,0.0622794462102236,0.0628063721793839,0.0622794462102236,0,0.0000000,0.0000000,0,4.193995529112351254732332275,43.760738723525180116840017093,51.378367895988973715653181146,1548839000
21.17,0,0.0628044161954711115507818842,0.0628044161954711,0.0622779709507866,0.0628044161954711,0.0622779709507866,0,0.0000000,0.0000000,0,4.1933259547521309134423666059,43.753519451774315962312249555,51.374231755379667534411731726,1549571000
21.18,0,0.0628024625757305955507818842,0.0628024625757306,0.0622764973971615,0.0628024625757306,0.0622764973971615,0,0.0000000,0.0000000,0,4.1926568477370221930991204575,43.746285674032025564392864806,51.370086018086310967702654091,1550303000
21.19,0,0.0628005113191724265507818842,0.0628005113191724,0.0622750255495605,0.0628005113191724,0.0622750255495605,0,0.0000000,0.0000000,0,4.1919882325304258447299396473,43.739079674902626978903258879,51.365957665445654140530574782,1551035000
21.20,0,0.0627985515231203515507818842,0.0627985515231204,0.0622735445065072,0.0627985515231204,0.0622735445065072,0,0.0000000,0.0000000,0,4.1913202092309119151900787934,43.731853387972280355681276341,51.361815777805765617171154998,1551767000
21.21,0,0.0627966029481749945507818842,0.062796602948175,0.0622720740297991,0.062796602948175,0.0622720740297991,0,0.0000000,0.0000000,0,4.1906523225821684513347925103,43.724655541223339211773045187,51.357692327266273930996423488,1552499000
21.22,0,0.0627946566917962715507818842,0.0627946566917963,0.0622706052180902,0.0627946566917963,0.0622706052180902,0,0.0000000,0.0000000,0,4.1899848983658581760623582168,43.71742696769985997517384228,51.353548890039551326389558209,1553231000
21.23,0,0.0627927128363160385507818842,0.062792712836316,0.062269138154904,0.062792712836316,0.062269138154904,0,0.0000000,0.0000000,0,4.1893181353515961643570989298,43.710240541247091122265678219,51.349431679693043752911343327,1553963000
21.24,0,0.0627907693952232865507818842,0.0627907693952233,0.062267670854918,0.0627907693952233,0.062267670854918,0,0.0000000,0.0000000,0,4.1886518850463494630742692683,43.703030467504793963107013273,51.345298901045958855417970475,1554695000
21.25,0,0.0627888292134968645507818842,0.0627888292134969,0.0622662061642972,0.0627888292134969,0.0622662061642972,0,0.0000000,0.0000000,0,4.1879860407514847951121466465,43.695849785934041176755466708,51.341184643526332654929654447,1555427000
21.26,0,0.0627868903464183475507818842,0.0627868903464184,0.0622647421395066,0.0627868903464184,0.0622647421395066,0,0.0000000,0.0000000,0,4.1873204796898578833690084837,43.688648430850135040317347462,51.337057122724411578240134799,1556159000
21.27,0,0.0627849529320598345507818842,0.0627849529320598,0.0622632789197989,0.0627849529320598,0.0622632789197989,0,0.0000000,0.0000000,0,4.1866554019466691267861549958,43.681441309815868270213771245,51.332925494851238399154503378,1556891000
21.28,0,0.0627830177328798095507818842,0.0627830177328798,0.0622618172688104,0.0627830177328798,0.0622618172688104,0,0.0000000,0.0000000,0,4.1859908522339828961758180011,43.674273999433685838979038736,51.328818798575732768179925784,1557623000
21.29,0,0.0627810938870851795507818842,0.0627810938870852,0.0622603663259235,0.0627810938870852,0.0622603663259235,0,0.0000000,0.0000000,0,4.1853267563488136186083661168,43.6670841708241640027502349,51.324697326140376422456552585,1558355000
