Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01295685,0,0.4477969,0,226.3242,134.5962,0.03614381,0,79.50517,95.35464,1.981184,21.9181183741836,21.9181183739803,0.0000944085522984586,14.6795534384836,0.5294279,0.000003170195,89.9999,89.9999,0.007694621,0.00000005835303
0.2,S,0.2,0.01369154,0,0.4431212,0,316.3607,134.4227,0.03993717,0,79.48035,95.35464,1.984286,43.5372182855837,43.5372182853832,0.000132141001796251,15.6516741609095,5.455776,0.00001738372,89.9999,89.9999,0.2968354,0.000001068387
0.3,S,0.3,0.01529723,0,0.4339385,0,323.2187,134.2571,0.04881953,0,79.45553,95.35464,1.987389,45.2719341265063,45.2719341263045,0.000135168649942324,17.5686255080541,9.666789,0.00003034875,89.9999,89.9999,1.050344,0.000003450438
0.3999999,S,0.3999999,0.01760602,0,0.422702,0,313.1044,134.0898,0.06299113,0,79.43071,95.35464,1.990492,42.9382915986551,42.938291598455,0.000131095677316619,20.2314585338042,13.93204,0.00004340842,89.9999,89.9999,2.231543,0.000007140492
0.4999998,S,0.4999998,0.02031926,0,0.4116884,0,312.7926,133.9244,0.08171158,0,79.40588,95.35464,1.993595,42.951681503015,42.9516815028149,0.000131119044828249,23.3432469674265,18.15755,0.00005639871,89.9999,89.9999,3.835667,0.00001213023
0.5999997,S,0.5999997,0.02332308,0,0.4014964,0,311.3575,133.7589,0.1049841,0,79.38107,95.35464,1.996698,42.6938481017466,42.6938481015466,0.000130669038448794,26.7683411013412,22.39047,0.00006940196,89.9999,89.9999,5.86304,0.00001842021
0.6999996,S,0.6999996,0.02653068,0,0.3923111,0,311.2272,133.5931,0.1327276,0,79.35624,95.35464,1.9998,42.7486794120916,42.7486794118916,0.000130764741956514,30.4182543819322,26.64693,0.00008244628,89.9999,89.9999,8.314785,0.00002601241
0.7999995,S,0.7999995,0.02987351,0,0.3841307,0,310.6256,133.4274,0.1647566,0,79.33142,95.35464,2.002903,42.6889585200521,42.6889585198521,0.000130660507715703,34.2148668559859,30.91028,0.00009550262,89.9999,89.9999,11.19266,0.00003490987
0.8999994,S,0.8999994,0.03330903,0,0.3768528,0,310.3395,133.2617,0.200927,0,79.30659,95.35464,2.006006,42.704190839139,42.704190838939,0.00013068709121919,38.1135667403729,35.17715,0.0001085651,89.9999,89.9999,14.497,0.0000451132
0.9999993,S,0.9999993,0.0368139,0,0.3703479,0,310.1441,133.0962,0.2411687,0,79.28178,95.35464,2.009109,42.7403698461836,42.7403698459836,0.000130750239846837,42.0885721638054,39.44915,0.0001216364,89.9999,89.9999,18.22828,0.00005662323
1.099999,S,1.099999,0.04037147,0,0.3645014,0,310.0394,132.9308,0.2854133,0,79.25695,95.35464,2.012212,42.7975495871423,42.7975495869423,0.000130850034953245,46.1217631223528,43.72647,0.000134717,89.9999,89.9999,22.38702,0.00006944081
1.199999,S,1.199999,0.04397035,0,0.3592153,0,309.9131,132.7654,0.333605,0,79.23213,95.35464,2.015314,42.8486619771663,42.8486619769662,0.000130939240458819,50.2004099648245,48.00904,0.0001478069,89.9999,89.9999,26.97375,0.00008356692
1.299999,S,1.299999,0.04760246,0,0.3544078,0,309.81,132.6,0.3856962,0,79.20731,95.35464,2.018417,42.9045870152455,42.9045870150454,0.000131036852075368,54.3157558873153,52.29711,0.0001609064,89.9999,89.9999,31.98902,0.00009900251
1.399999,S,1.399999,0.05126163,0,0.3500117,0,309.6853,132.4347,0.4416417,0,79.18249,95.35464,2.02152,42.9543744339229,42.9543744337228,0.000131123744678646,58.4608934413082,56.5903,0.0001740149,89.9999,89.9999,37.43335,0.0001157485
1.499999,S,1.499999,0.05494326,0,0.3459716,0,309.5613,132.2696,0.5014003,0,79.15766,95.35464,2.024623,43.0034983713479,43.0034983711477,0.000131209485618773,62.6307952876214,60.88844,0.000187132,89.9999,89.9999,43.30724,0.0001338058
1.599999,S,1.599999,0.0586443,0,0.342241,0,309.4607,132.1045,0.5649438,0,79.13284,95.35464,2.027725,43.0574693744342,43.057469374234,0.000131303679630416,66.8221220539403,65.19188,0.0002002583,89.9999,89.9999,49.61121,0.0001531752
1.699999,S,1.699999,0.06236197,0,0.3387816,0,309.3384,131.9394,0.6322384,0,79.10802,95.35464,2.030828,43.10536714134,43.1053671411398,0.000131387280367264,71.0316922458637,69.50026,0.0002133933,89.9999,89.9999,56.34578,0.0001738578
1.799999,S,1.799999,0.06608947,11.22477,0.6072749,1.258861,309.2169,131.7744,1.27252,2.667628,79.0832,95.35464,2.033931,43.0183286401847,43.01353,-0.6425231,75.2492861588462,73.80923,-0.01897164,89.99758,90.01472,63.51996,-0.00009155185
1.899999,S,1.899999,0.06981234,10.53342,0.572071,1.185334,309.1187,131.6094,1.337259,2.800485,79.05837,95.35464,2.037034,43.071909599257,43.06734,-0.6273929,79.4639830821774,78.11366,-0.0829946,89.9558,90.06087,71.13759,-0.005205327
1.999998,S,1.999998,0.07354891,9.857485,0.5397393,1.112834,308.9989,131.4446,1.399967,2.915896,79.03355,95.35464,2.040137,43.1196850829865,43.11633,-0.5378931,83.6937669273691,82.4231,-0.1414348,89.86076,90.09832,79.18593,-0.01650373
2.099998,S,2.099998,0.07729897,9.191286,0.5098998,1.040815,308.9023,131.2798,1.460452,3.010133,79.00873,95.35464,2.04324,43.172910428232,43.17131,-0.3717361,87.9385306658342,86.73765,-0.1867253,89.71161,90.12334,87.66549,-0.03305199
2.199998,S,2.199998,0.08106267,8.5307,0.4822979,0.968876,308.7841,131.1151,1.518726,3.079363,78.98391,95.35464,2.046342,43.2209878828343,43.2208,-0.1274399,92.1982967971882,91.05749,-0.2111119,89.50811,90.13284,96.57681,-0.05314863
2.299998,S,2.299998,0.0848396,7.872882,0.4567741,0.8967464,308.6666,130.9504,1.575004,3.119697,78.95908,95.35464,2.049445,43.2699432235772,43.2695,0.1958477,96.47260581219,95.38227,-0.2067279,89.25053,90.12418,105.9204,-0.07431061
2.399998,S,2.399998,0.08862991,7.216144,0.4332388,0.824273,308.5725,130.7859,1.629764,3.12737,78.93427,95.35464,2.052548,43.3261288870155,43.322,0.5981307,100.761691781242,99.7123,-0.1656642,88.93984,90.09518,115.6967,-0.09326533
2.499998,S,2.499998,0.09243317,6.559912,0.4116555,0.7514207,308.4566,130.6214,1.683737,3.098801,78.90944,95.35464,2.055651,43.3793414312712,43.36594,1.078198,105.064950847251,104.047,-0.08008275,88.5777,90.0441,125.9063,-0.1059519
2.599998,S,2.599998,0.09624912,5.904567,0.3920211,0.6782615,308.3641,130.4569,1.737915,3.030792,78.88462,95.35464,2.058753,43.4417564795437,43.41101,1.634141,109.382037127914,108.386,0.05769663,88.1665,89.9695,136.5496,-0.107533
2.699998,S,2.699998,0.1000874,5.250832,0.3743334,0.6049073,308.2499,130.2923,1.793811,2.920961,78.85979,95.35464,2.061856,43.5034120805288,43.44455,2.262286,113.723886217148,112.7402,0.2554681,87.7094,89.87017,147.6277,-0.09239434
2.799998,S,2.799998,0.1039416,4.601284,0.3586293,0.5316818,308.5187,130.1276,1.852731,2.767131,78.83498,95.35464,2.064959,43.6654323564991,43.5648,2.9628,118.084098669652,117.103,0.5201859,87.21035,89.74549,159.1416,-0.05419022
2.899998,S,2.899998,0.1078046,3.959245,0.3449299,0.4589874,308.4959,129.9631,1.916084,2.567978,78.81015,95.35464,2.068062,43.7622167386464,43.60357,3.722942,122.453017190774,121.4645,0.8579315,86.67411,89.59531,171.0918,0.01408663
2.999998,S,2.999998,0.1116783,3.32815,0.3332204,0.387253,308.4516,129.7986,1.985605,2.323618,78.78532,95.35464,2.071165,43.8613879887996,43.626,4.538004,126.833424212734,125.8272,1.274693,86.10618,89.41959,183.4782,0.1200435
3.099998,S,3.099998,0.1155617,2.712271,0.3234618,0.317001,308.3631,129.6343,2.06292,2.035327,78.76051,95.35464,2.074267,43.9579944770485,43.6252,5.398815,131.223881552832,130.1893,1.775463,85.51282,89.21867,196.3008,0.2718391
3.199997,S,3.199997,0.1194547,2.116331,0.3155771,0.2488077,308.2304,129.47,2.149539,1.705803,78.73568,95.35464,2.07737,44.0523911116677,43.60027,6.295206,135.624609921488,134.5506,2.364402,84.90095,88.99326,209.5596,0.4780914
3.299997,S,3.299997,0.1233563,1.5455,0.3094491,0.1832992,308.1436,129.3058,2.246674,1.339223,78.71086,95.35464,2.080473,44.1669020531019,43.57311,7.217986,140.034373922277,138.9094,3.044527,84.27804,88.74443,223.2545,0.7477757
3.399997,S,3.399997,0.1272656,1.005196,0.3049181,0.1211303,308.035,129.1416,2.355168,0.941357,78.68604,95.35464,2.083576,44.2843556962882,43.52726,8.153637,144.452261251774,143.2643,3.817729,83.65202,88.47353,237.385,1.090116
3.499997,S,3.499997,0.1311825,0.5009724,0.3017844,0.06296545,307.9497,128.9774,2.475407,0.5195651,78.66122,95.35464,2.086679,44.4149499072587,43.47473,9.090414,148.877951102099,147.6145,4.684682,83.03117,88.18227,251.9507,1.514464
3.599997,S,3.599997,0.1351058,0.03831481,0.2998156,0.009460774,307.8428,128.8134,2.607208,0.08274935,78.63639,95.35464,2.089782,44.5459373432471,43.40587,10.01354,153.31017655884,151.9583,5.644657,82.42384,87.87267,266.9511,2.03017
3.699997,S,3.699997,0.1390351,-0.3775402,0.2987552,-0.03876233,307.7366,128.6495,2.749829,-0.358797,78.61157,95.35464,2.092884,44.6809248836469,43.3285,10.90991,157.748285848753,156.2947,6.69559,81.83833,87.54697,282.3856,2.646444
3.799997,S,3.799997,0.1429701,-0.7417641,0.2983355,-0.08113164,307.6537,128.4856,2.902009,-0.7935395,78.58675,95.35464,2.095987,44.8230648549617,43.25105,11.76664,162.192304727496,160.6235,7.83411,81.28274,87.20772,298.2532,3.372225
3.899997,S,3.899997,0.1469105,-1.050235,0.2982931,-0.1171588,307.5491,128.3217,3.062014,-1.209101,78.56193,95.35464,2.09909,44.9584497485779,43.16577,12.56895,166.641583714918,164.944,9.055393,80.76453,86.85763,314.5532,4.21604
3.999997,S,3.999997,0.1508559,-1.299539,0.2983836,-0.146442,307.4678,128.158,3.227801,-1.59244,78.5371,95.35464,2.102193,45.095125055142,43.08733,13.3061,171.095874957297,169.2561,10.35341,80.29057,86.49957,331.2848,5.185874
4.099999,S,4.099999,0.1548067,-1.487403,0.2983969,-0.168706,307.3648,127.9943,3.397213,-1.930499,78.51228,95.35464,2.105295,45.218954919414,43.00846,13.96518,175.555387690239,173.5604,11.72094,79.86665,86.13654,348.4471,6.289051
4.200001,S,4.200001,0.1587625,-1.612705,0.2981702,-0.1838087,307.2626,127.8307,3.568164,-2.210572,78.48746,95.35464,2.108398,45.3325809566607,42.93831,14.53769,180.019875056653,177.8573,13.14971,79.49736,85.77158,366.0396,7.532115
4.300004,S,4.300004,0.1627237,-1.675671,0.297597,-0.1917612,307.1836,127.6671,3.738894,-2.420938,78.46264,95.35464,2.111501,45.4390497188244,42.88573,15.01737,184.489622472055,182.148,14.63063,79.18592,85.40771,384.0613,8.92074
4.400006,S,4.400006,0.1666907,-1.677942,0.296631,-0.1927337,307.083,127.5036,3.908179,-2.551386,78.43781,95.35464,2.114604,45.5251119849518,42.8423,15.39718,188.96506957813,186.4341,16.15408,78.93399,85.04782,402.5119,10.45967
4.500008,S,4.500008,0.1706631,-1.62267,0.2952853,-0.1870664,306.9831,127.3402,4.075419,-2.593832,78.41299,95.35464,2.117707,45.594933247396,42.81544,15.67597,193.446013903346,190.7168,17.70997,78.74152,84.69473,421.3909,12.15264
4.60001,S,4.60001,0.1746414,-1.514527,0.2936246,-0.1752736,306.9065,127.1768,4.240789,-2.542982,78.38817,95.35464,2.12081,45.6535051522312,42.81168,15.85568,197.932583147299,194.9978,19.28829,78.60665,84.35094,440.698,14.00241
4.700013,S,4.700013,0.1786258,-1.359689,0.2917535,-0.1580415,306.8081,127.0136,4.405213,-2.396918,78.36334,95.35464,2.123913,45.6898416428357,42.81985,15.93807,202.425250859313,199.2793,20.87916,78.52579,84.01875,460.4333,16.01072
4.800015,S,4.800015,0.1826159,-1.165594,0.289799,-0.1362035,306.733,126.8503,4.570168,-2.157322,78.33852,95.35464,2.127016,45.7161973916565,42.85005,15.93248,206.923461816174,203.5625,22.47334,78.49361,83.70005,480.5967,18.17836
4.900017,S,4.900017,0.1866122,-0.9408962,0.2878928,-0.1107376,306.6363,126.6872,4.737597,-1.830104,78.3137,95.35464,2.130118,45.7231496143092,42.88917,15.84694,211.427675680258,207.8496,24.06249,78.50319,83.39634,501.1888,20.50522
5.00002,S,5.00002,0.1906136,-0.6951596,0.2861525,-0.08272961,306.5403,126.5241,4.90948,-1.42533,78.28887,95.35464,2.133221,45.7188052439278,42.94009,15.69579,215.936776910057,212.1411,25.63937,78.5462,83.10866,522.2097,22.99044
5.100022,S,5.100022,0.1946206,-0.4385282,0.2846656,-0.05333912,306.4675,126.3611,5.087667,-0.9572184,78.26405,95.35464,2.136324,45.7117819971361,43.00516,15.49591,220.451250147912,216.4389,27.19832,78.6133,82.83759,543.6602,25.63249
5.200024,S,5.200024,0.1986324,-0.1813585,0.2834793,-0.02375733,306.3734,126.1982,5.273472,-0.4437312,78.23923,95.35464,2.139427,45.694096484314,43.06967,15.26283,224.969878337808,220.7429,28.73528,78.69434,82.58321,565.5407,28.42937
5.300026,S,5.300026,0.2026582,0.06610985,0.282594,0.004834312,306.2799,126.0351,5.468002,0.09391049,78.21441,95.35464,2.14253,45.6746323961617,43.13542,15.01691,229.5033071419,225.0643,30.25025,78.77885,82.34492,587.8527,31.37886
5.400029,S,5.400029,0.2066923,0.2942069,0.2819707,0.03131377,306.5462,125.8719,5.67082,0.6322116,78.18958,95.35464,2.145633,45.7475822729868,43.28891,14.79566,234.046160266264,229.3982,31.74197,78.85649,82.12197,610.5975,34.47866
5.500031,S,5.500031,0.2107275,0.4943209,0.2815377,0.05467539,306.5439,125.7089,5.880594,1.146387,78.16476,95.35464,2.148736,45.7569508803034,43.3694,14.58745,238.588339851244,233.7346,33.2104,78.91747,81.9132,633.7759,37.72646
