Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01299035,0,0.4433196,0,250.8833,134.565,0.03596766,0,79.4875,95.35464,1.983393,27.8026685359964,27.8026685357993,0.000104679029803438,14.7346249979212,1.378424,0.000007459682,89.9999,89.9999,0.04170741,0.0000003002177
0.2,S,0.2,0.01597064,0,0.4261889,0,472.0974,134.2794,0.05226279,0,79.445,95.35464,1.988706,80.9302928354482,80.9302928352074,0.000197404225230014,18.5712440077238,11.38777,0.00003054472,89.9999,89.9999,0.6576734,0.00000216144
0.3,S,0.3,0.02141394,0,0.4035012,0,483.9056,134.0031,0.08895324,0,79.4025,95.35464,1.994019,83.9898393584539,83.9898393582092,0.000202744140665177,24.9245201132482,20.14997,0.00005145309,89.9999,89.9999,2.234535,0.000006261287
0.3999999,S,0.3999999,0.0281034,0,0.3840398,0,492.6598,133.7237,0.1458082,0,79.35999,95.35464,1.999331,86.325136177392,86.3251361771443,0.000206820002537166,32.5943702824009,29.10639,0.00007270042,89.9999,89.9999,4.697566,0.00001246934
0.4999998,S,0.4999998,0.03521,0,0.3689465,0,492.1552,133.4469,0.2198542,0,79.31749,95.35464,2.004644,86.4314410073341,86.4314410070862,0.000207005540194495,40.6782746389889,37.94088,0.00009373495,89.9999,89.9999,8.050819,0.00002079266
0.5999997,S,0.5999997,0.04258025,0,0.3569049,0,495.2286,133.1703,0.3109899,0,79.27499,95.35464,2.009957,87.3983423511686,87.3983423509194,0.00020869310166039,49.0523475082498,46.80727,0.000114825,89.9999,89.9999,12.28828,0.00003122075
0.6999996,S,0.6999996,0.05008383,0,0.3470871,0,495.8549,132.8942,0.418346,0,79.23249,95.35464,2.01527,87.7723697128172,87.7723697125675,0.000209345901522176,57.5636671773671,55.66294,0.0001358966,89.9999,89.9999,17.41195,0.00004375711
0.7999995,S,0.7999995,0.05768515,0,0.338872,0,496.7769,132.6183,0.5417229,0,79.18999,95.35464,2.020582,88.2156069167966,88.2156069165463,0.000210119494881796,66.1817858652076,64.53538,0.0001569973,89.9999,89.9999,23.42186,0.00005840178
0.8999994,S,0.8999994,0.06534903,0,0.3318662,0,497.0278,132.3427,0.6806957,0,79.14748,95.35464,2.025895,88.4935160341785,88.4935160339279,0.000210604535664422,74.866203692699,73.41481,0.0001781101,89.9999,89.9999,30.31935,0.00007515712
0.9999993,S,0.9999993,0.0730627,0,0.3257894,0,497.2146,132.0674,0.8350734,0,79.10499,95.35464,2.031208,88.7530191788138,88.7530191785628,0.000211057457950584,83.6047395404162,82.30758,0.0001992463,89.9999,89.9999,38.1054,0.00009402483
1.099999,S,1.099999,0.08081436,0,0.320447,0,497.2026,131.7922,1.004619,0,79.06248,95.35464,2.03652,88.9612008986597,88.9612008984085,0.000211420800545918,92.3841322671286,91.21191,0.0002204027,89.9999,89.9999,46.7813,0.0001150071
1.199999,S,1.199999,0.08859817,0,0.315696,0,497.1265,131.5172,1.189172,0,79.01998,95.35464,2.041833,89.1506876753041,89.1506876750526,0.000211751520317397,101.19828411984,100.1293,0.0002415819,89.9999,89.9999,56.34825,0.0001381062
1.299999,S,1.299999,0.0963997,7.62824,0.4378489,0.8716949,496.9641,131.2425,1.951848,3.948948,78.97748,95.35464,2.047146,89.1825298314562,89.17758,-0.9396023,110.02842230296,109.0523,-0.04640342,89.9906,90.02438,66.83416,-0.0009992417
1.399999,S,1.399999,0.1042127,6.937328,0.4122792,0.7950842,496.76,130.9678,2.147008,4.202906,78.93498,95.35464,2.052458,89.3371930968178,89.33306,-0.8593378,118.872873191069,117.9812,-0.1374013,89.91516,90.06673,78.23037,-0.01026283
