Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01299293,0,0.441547,0,185.8463,134.5606,0.03583809,0,79.4818,95.35464,1.984106,12.2540501756196,12.2540501753743,0.000077541575655243,14.7241370638861,1.261387,0.000007255413,89.9999,89.9999,0.05257645,0.0000003191877
0.2,S,0.2,0.01681804,0,0.4202983,0,483.7884,134.2356,0.05715486,0,79.43359,95.35464,1.990131,83.7681524486489,83.7681524484045,0.000202357221371908,19.5907970693228,12.9842,0.00003333101,89.9999,89.9999,0.7385939,0.000002302673
0.3,S,0.3,0.02332401,0,0.3954724,0,495.3291,133.9279,0.1034289,0,79.38539,95.35464,1.996157,86.7959149497302,86.7959149494818,0.000207641664157852,27.1396658333198,22.83311,0.00005613601,89.9999,89.9999,2.533474,0.00000678303
0.3999999,S,0.3999999,0.03124584,0,0.3750726,0,517.5978,133.6129,0.1760269,0,79.33719,95.35464,2.002182,92.4212713810139,92.4212713807581,0.000217459767220266,36.2275465485018,33.12437,0.00007971309,89.9999,89.9999,5.333201,0.00001357872
0.4999998,S,0.4999998,0.0395405,0,0.3597671,0,523.2354,133.301,0.2703518,0,79.28899,95.35464,2.008207,94.0506816521382,94.0506816518802,0.000220303621516479,45.6668702351457,43.2464,0.0001029947,89.9999,89.9999,9.154336,0.00002271865
0.5999997,S,0.5999997,0.04815289,0,0.3476672,0,532.3397,132.9875,0.3874014,0,79.24078,95.35464,2.014232,96.5225724291308,96.5225724288695,0.00022461788540967,55.4596260662288,53.48418,0.0001264785,89.9999,89.9999,13.9923,0.00003419481
0.6999996,S,0.6999996,0.05681488,0,0.3379798,0,533.7153,132.6766,0.5241813,0,79.19258,95.35464,2.020257,97.1245767506364,97.1245767503742,0.000225668582397906,65.2831869294197,63.61353,0.000149773,89.9999,89.9999,19.8489,0.00004801038
0.7999995,S,0.7999995,0.06556444,0,0.3299212,0,537.5234,132.3661,0.6812593,0,79.14439,95.35464,2.026283,98.3152865855881,98.3152865853243,0.000227746763259112,75.207467512683,73.76279,0.0001731022,89.9999,89.9999,26.71859,0.00006415565
0.8999994,S,0.8999994,0.07436317,0,0.3230795,0,539.313,132.0562,0.8579741,0,79.09618,95.35464,2.032308,99.0144322909333,99.0144322906686,0.00022896700155144,85.1798747434154,83.90707,0.0001964227,89.9999,89.9999,34.60287,0.00008263328
0.9999993,S,0.9999993,0.08321136,0,0.3171574,0,541.3097,131.7466,1.054283,0,79.04798,95.35464,2.038333,99.7623947448016,99.7623947445358,0.000230272440498596,95.2066732893508,94.06963,0.0002197751,89.9999,89.9999,43.50219,0.000103444
1.099999,S,1.099999,0.09209187,0,0.3119624,0,542.3668,131.4374,1.269742,0,78.99978,95.35464,2.044358,100.278808353165,100.278808352899,0.000231173756108959,105.266060349146,104.2388,0.0002431388,89.9999,89.9999,53.41801,0.0001265904
1.199999,S,1.199999,0.1010014,7.294768,0.4230345,0.8351669,543.3164,131.1285,2.070323,4.158856,78.95158,95.35464,2.050384,100.632285316785,100.6273,-1.00167,115.353700650387,114.4196,-0.01969668,89.99831,90.00986,64.36645,-0.00004718373
1.299999,S,1.299999,0.1099163,6.602399,0.3981231,0.7581308,543.8661,130.82,2.306596,4.463395,78.90337,95.35464,2.056409,101.021315454682,101.0167,-0.965659,125.447896784404,124.6012,-0.1195442,89.94178,90.05497,76.36856,-0.007047205
1.399999,S,1.399999,0.118859,5.927804,0.37615,0.6827492,544.2632,130.5117,2.54719,4.692864,78.85517,95.35464,2.062434,101.371141651828,101.3686,-0.7178397,135.571683057654,134.7977,-0.2041326,89.80253,90.08677,89.38958,-0.02344418
1.499999,S,1.499999,0.1278497,5.256993,0.3565502,0.6074684,545.0696,130.2031,2.792207,4.824009,78.80697,95.35464,2.06846,101.82120048877,101.8209,-0.2473705,145.749436170837,145.0345,-0.2515413,89.57964,90.09937,103.4324,-0.04662444
1.599999,S,1.599999,0.1368757,4.583447,0.3391013,0.5315428,545.4537,129.8945,3.042181,4.83148,78.75877,95.35464,2.074485,102.166992198706,102.166,0.4502654,155.964545336553,155.2955,-0.2392315,89.27451,90.08826,118.5002,-0.07174641
1.699999,S,1.699999,0.145926,3.904913,0.3237434,0.4547121,545.4827,129.5863,3.299358,4.691586,78.71056,95.35464,2.08051,102.425196781734,102.416,1.372545,166.204532965781,165.5686,-0.1446611,88.89119,90.05006,134.5948,-0.09170902
1.799999,S,1.799999,0.1550025,3.222823,0.3105036,0.3771406,545.5165,129.2784,3.568225,4.384793,78.66236,95.35464,2.086535,102.686092039383,102.6554,2.510448,176.472439994344,175.8571,0.05421322,88.43671,89.98234,151.7175,-0.09717627
1.899999,S,1.899999,0.1641033,2.542603,0.2994479,0.2994494,545.4651,128.9707,3.854721,3.897542,78.61416,95.35464,2.092561,102.928824840013,102.857,3.844546,186.765497126987,186.1583,0.3778655,87.92122,89.8837,169.8697,-0.07667803
1.999998,S,1.999998,0.1732277,1.873073,0.2906156,0.222659,545.351,128.6631,4.165855,3.225389,78.56596,95.35464,2.098586,103.159996536153,103.0214,5.345655,197.082994668948,196.4714,0.8443729,87.35808,89.75376,189.0527,-0.01680829
2.099998,S,2.099998,0.1823735,1.22597,0.2839695,0.1481353,545.2191,128.3559,4.508623,2.375588,78.51775,95.35464,2.104611,103.391417960775,103.1559,6.97464,207.422565025928,206.7938,1.468301,86.76362,89.59319,209.2675,0.09747919
2.199998,S,2.199998,0.1915397,0.6153343,0.2793581,0.07751745,545.0469,128.0489,4.888881,1.369588,78.46955,95.35464,2.110636,103.617412975414,103.2531,8.681337,217.782429631055,217.1234,2.259732,86.15684,89.40372,230.515,0.2824722
