Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01297479,0,0.4450054,0,260.3309,134.5742,0.03601803,0,79.49345,95.35464,1.982649,30.0572980600865,30.0572980598903,0.00010861409891098,14.7136914810682,1.132979,0.000005908218,89.9999,89.9999,0.02688113,0.0000001844943
0.2,S,0.2,0.01516208,0,0.4319882,0,436.1779,134.323,0.04774598,0,79.45691,95.35464,1.987217,72.2909593175935,72.2909593173636,0.000182325741243538,17.5571645682674,9.64595,0.00002638158,89.9999,89.9999,0.5468746,0.000001765905
0.3,S,0.3,0.01935941,0,0.4126811,0,445.7587,134.0819,0.07435792,0,79.42036,95.35464,1.991786,74.7714512881861,74.7714512879531,0.000186655019322778,22.48511373647,17.04025,0.00004490249,89.9999,89.9999,1.879282,0.000005326788
0.3999999,S,0.3999999,0.02462134,0,0.3949152,0,441.8532,133.8406,0.1150869,0,79.38381,95.35464,1.996354,74.01560318754,74.015603187308,0.000185335812426213,28.5147508753924,24.45159,0.00006345314,89.9999,89.9999,3.954376,0.00001074545
0.4999998,S,0.4999998,0.03037802,0,0.3803121,0,441.6369,133.6002,0.1687006,0,79.34727,95.35464,2.000922,74.1417245213034,74.1417245210712,0.000185555937091197,35.0735919517698,31.85821,0.00008199557,89.9999,89.9999,6.769753,0.00001801768
0.5999997,S,0.5999997,0.03641107,0,0.3683644,0,441.3105,133.3598,0.23472,0,79.31072,95.35464,2.005491,74.2386456934705,74.2386456932382,0.000185725097587119,41.9278248899202,39.27761,0.0001005603,89.9999,89.9999,10.32646,0.00002714534
0.6999996,S,0.6999996,0.04260692,0,0.3584548,0,441.0988,133.1197,0.3127065,0,79.27418,95.35464,2.010059,74.3606277823771,74.3606277821446,0.000185937997286949,48.9578125637912,46.70819,0.0001191446,89.9999,89.9999,14.62565,0.00003813041
0.7999995,S,0.7999995,0.04890836,0,0.3500878,0,440.8445,132.8796,0.4023568,0,79.23763,95.35464,2.014627,74.4697982600499,74.4697982598173,0.000186128536229974,56.102279524886,54.15028,0.0001377489,89.9999,89.9999,19.66849,0.00005097493
0.8999994,S,0.8999994,0.05528275,0,0.3429051,0,440.615,132.6397,0.5034262,0,79.20108,95.35464,2.019195,74.5824643378304,74.5824643375977,0.000186325175726309,63.3262743512034,61.6036,0.0001563729,89.9999,89.9999,25.45609,0.00006568086
0.9999993,S,0.9999993,0.06171056,0,0.336649,0,440.3878,132.4,0.6157184,0,79.16454,95.35464,2.023764,74.6932761474017,74.6932761471688,0.000186518578633042,70.6086338781916,69.06783,0.0001750159,89.9999,89.9999,31.98957,0.00008225012
1.099999,S,1.099999,0.06817964,0,0.3311315,0,440.1404,132.1604,0.7390743,0,79.12799,95.35464,2.028332,74.7967617498999,74.7967617496669,0.000186699194543454,77.9360446999592,76.54288,0.0001936777,89.9999,89.9999,39.27002,0.0001006847
