Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01298591,0,0.4396764,0,76.47229,134.5598,0.03564769,0,79.47636,95.35464,1.984785,0,0,0,14.7061919215073,1.031016,0.000006291801,89.9999,89.9999,0.06053396,0.000000375192
0.2,S,0.2,0.01785509,0,0.4136695,0,480.5026,134.1859,0.06340475,0,79.42272,95.35464,1.99149,83.0217520899622,83.0217520897188,0.000201054510972796,20.8004612609429,14.74616,0.00003584467,89.9999,89.9999,0.8181654,0.000002427514
0.3,S,0.3,0.02528245,0,0.3877681,0,502.0948,133.8477,0.1191587,0,79.36909,95.35464,1.998195,88.4897511059568,88.4897511057062,0.000210597968595486,29.3948618861272,25.47248,0.00006018105,89.9999,89.9999,2.835175,0.000007239408
0.3999999,S,0.3999999,0.03421161,0,0.367146,0,532.8431,133.4984,0.2065649,0,79.31544,95.35464,2.0049,96.1949336597576,96.1949336594967,0.000224046047354006,39.6350020439138,36.82013,0.00008560185,89.9999,89.9999,5.953793,0.00001453551
0.4999998,S,0.4999998,0.04344516,0,0.3519875,0,529.0444,133.153,0.3193145,0,79.26181,95.35464,2.011604,95.5828090288312,95.5828090285711,0.000222977691130821,50.1120111419314,47.91661,0.0001105844,89.9999,89.9999,10.19867,0.00002435885
0.5999997,S,0.5999997,0.05301937,0,0.3400581,0,542.1799,132.8052,0.4593593,0,79.20818,95.35464,2.018309,99.0656969770079,99.0656969767431,0.000229056472380625,61.0010894227993,59.21081,0.0001359119,89.9999,89.9999,15.55986,0.00003669208
0.6999996,S,0.6999996,0.0626454,0,0.3305299,0,543.564,132.4597,0.623195,0,79.15453,95.35464,2.025014,99.7044365033706,99.7044365031049,0.000230171286117006,71.9149164161054,70.40271,0.0001610609,89.9999,89.9999,22.04624,0.00005155069
0.7999995,S,0.7999995,0.07240013,0,0.3225916,0,550.0801,132.1135,0.812184,0,79.1009,95.35464,2.031718,101.590840535588,101.59084053532,0.000233463680088214,82.9829320441376,81.6759,0.0001863517,89.9999,89.9999,29.6546,0.00006892903
0.8999994,S,0.8999994,0.08218519,0,0.3158782,0,552.2634,131.7685,1.024473,0,79.04726,95.35464,2.038423,102.422410041727,102.422410041458,0.000234915044611702,94.0723117074485,92.92139,0.000211594,89.9999,89.9999,38.38896,0.00008883417
0.9999993,S,0.9999993,0.09203125,0,0.3100697,0,555.8469,131.4235,1.260601,0,78.99362,95.35464,2.045128,103.595218825623,103.595218825352,0.000236961983844092,105.232094311821,104.2045,0.0002369021,89.9999,89.9999,48.24915,0.0001112658
1.099999,S,1.099999,0.1018827,0,0.3049938,0,562.044,131.0798,1.519068,0,78.93999,95.35464,2.051833,105.408871735979,105.408871735705,0.000240127404031502,116.402450813392,115.4743,0.000262187,89.9999,89.9999,59.23563,0.0001362247
1.199999,S,1.199999,0.1117594,6.537154,0.3934877,0.7509735,565.3928,130.7361,2.357241,4.574186,78.88634,95.35464,2.058537,106.392945979762,106.3877,-1.056524,127.590235225152,126.7538,-0.08431153,89.97294,90.03811,71.40063,-0.003211934
1.299999,S,1.299999,0.1216655,5.852764,0.371166,0.6744769,569.9164,130.3928,2.633966,4.86113,78.83271,95.35464,2.065242,107.8028736946,107.7993,-0.8777792,138.815278432789,138.0571,-0.1814299,89.86172,90.07529,84.69944,-0.01665585
1.399999,S,1.399999,0.1316209,5.177603,0.3514467,0.5986629,571.704,130.0492,2.917438,5.041928,78.77907,95.35464,2.071947,108.539952593982,108.539,-0.4547396,150.087897508806,149.3932,-0.2461042,89.6628,90.09438,99.1306,-0.0383882
1.499999,S,1.499999,0.1416097,4.501814,0.3339937,0.5224587,573.835,129.7059,3.20764,5.086066,78.72543,95.35464,2.078651,109.362729464247,109.3625,0.2240304,161.397414439051,160.7522,-0.2528026,89.37691,90.0901,114.6963,-0.06389445
1.599999,S,1.599999,0.151624,3.821231,0.3186833,0.445372,575.2977,129.363,3.506771,4.963708,78.6718,95.35464,2.085356,110.021701195893,110.0156,1.158659,172.732190540073,172.123,-0.1757764,89.0078,90.05851,131.3983,-0.08608796
1.699999,S,1.699999,0.1616669,3.136352,0.3055191,0.3674548,576.7441,129.0205,3.81968,4.649658,78.61816,95.35464,2.092061,110.679194789997,110.6544,2.342631,184.097157445777,183.5109,0.01035962,88.56259,89.99677,149.2382,-0.09532043
1.799999,S,1.799999,0.1717413,2.452503,0.2945634,0.2893079,576.8928,128.6782,4.153283,4.125864,78.56452,95.35464,2.098766,111.016636257988,110.9534,3.746539,195.49236808026,194.9161,0.3293312,88.05211,89.90319,168.218,-0.07946819
1.899999,S,1.899999,0.1818379,1.779173,0.2858641,0.2120329,577.8121,128.3363,4.515351,3.385546,78.51088,95.35464,2.10547,111.550848097564,111.4224,5.351681,206.912176243029,206.3329,0.8020087,87.49084,89.7773,188.3386,-0.0241887
1.999998,S,1.999998,0.1919581,1.129264,0.2793824,0.1371209,578.4904,127.9948,4.914251,2.436853,78.45724,95.35464,2.112175,112.02992845731,111.8044,7.104999,218.355386433922,217.7599,1.445233,86.89683,89.61974,209.6013,0.08677338
2.099998,S,2.099998,0.2021009,0.5184058,0.2749547,0.06639505,579.1072,127.6537,5.35683,1.306305,78.40361,95.35464,2.11888,112.498690431534,112.1422,8.948873,229.821307563264,229.1961,2.270518,86.29121,89.43242,232.0072,0.2710955
2.199998,S,2.199998,0.2122639,-0.03606985,0.2722723,0.001879058,579.5956,127.3128,5.846737,0.04073091,78.34997,95.35464,2.125585,112.938741873136,112.4201,10.81113,241.306842067497,240.6381,3.282628,85.69733,89.21846,255.557,0.5472803
2.299998,S,2.299998,0.2224457,-0.5164406,0.2708939,-0.05434954,580.0227,126.9723,6.38315,-1.292209,78.29633,95.35464,2.132289,113.364209128915,112.6604,12.61262,252.810440885964,252.0842,4.478763,85.13961,88.98213,280.2511,0.9339346
2.399998,S,2.399998,0.2326443,-0.906114,0.270293,-0.1003389,580.3434,126.6321,6.960178,-2.606133,78.24269,95.35464,2.138994,113.759367657053,112.8611,14.26765,264.329715456982,263.5322,5.847749,84.64201,88.72882,306.0898,1.448971
2.499998,S,2.499998,0.2428592,-1.191228,0.2699334,-0.1344426,580.6255,126.2922,7.567658,-3.800466,78.18906,95.35464,2.145699,114.136016563318,113.0519,15.69389,275.864149752381,274.9823,7.37005,84.22626,88.46473,333.0733,2.108764
2.599998,S,2.599998,0.2530982,-1.362351,0.2694112,-0.1555134,582.6671,125.9525,8.195354,-4.768624,78.13541,95.35464,2.152403,114.946942386912,113.7031,16.8643,287.427207501781,286.4493,9.019621,83.91,88.19649,361.2024,2.927357
2.699998,S,2.699998,0.2633732,-1.416065,0.2684982,-0.1630717,582.4219,125.6125,8.835238,-5.407532,78.08178,95.35464,2.159108,115.154585299772,113.8,17.61075,299.02161980207,297.9381,10.76261,83.70488,87.93117,390.4796,3.915927
2.799998,S,2.799998,0.27367,-1.356213,0.2669838,-0.1574745,582.7222,125.2727,9.475792,-5.630775,78.02814,95.35464,2.165813,115.477790292458,114.071,17.97017,310.638687462124,309.443,12.5591,83.61506,87.67586,420.9065,5.081794
2.899998,S,2.899998,0.2839818,-1.194515,0.2649911,-0.1399688,582.6917,124.9333,10.11611,-5.381836,77.9745,95.35464,2.172518,115.690741445511,114.296,17.91011,322.268292859879,320.9575,14.3668,83.63605,87.43702,452.4844,6.428209
2.999998,S,2.999998,0.2943123,-0.9503682,0.2627932,-0.1126924,582.7795,124.5941,10.76314,-4.647665,77.92087,95.35464,2.179222,115.910337645382,114.5863,17.46958,333.91552272028,332.4905,16.14629,83.7544,87.21981,485.2146,7.954291
3.099998,S,3.099998,0.3046595,-0.6500486,0.2607155,-0.07859176,582.7612,124.2552,11.42861,-3.468345,77.86723,95.35464,2.185927,116.082999048166,114.8748,16.70458,345.577149635604,344.0425,17.8619,83.94825,87.028,519.0992,9.655388
3.199997,S,3.199997,0.3150236,-0.3246505,0.2590226,-0.0412065,582.7713,123.9167,12.12529,-1.941551,77.81359,95.35464,2.192632,116.250000517466,115.1829,15.71503,357.253890305752,355.6173,19.48667,84.18898,86.86351,554.1403,11.52368
3.299997,S,3.299997,0.3254032,-0.007413357,0.2578316,-0.004362945,582.7427,123.5784,12.86178,-0.2190223,77.75996,95.35464,2.199336,116.401160217051,115.4791,14.62216,368.94361155658,367.2148,21.00463,84.44376,86.72626,590.34,13.54918
3.399997,S,3.399997,0.3357973,0.2697228,0.2570838,0.02821561,582.72,123.2404,13.63909,1.506133,77.70631,95.35464,2.206041,116.554615449457,115.7625,13.56547,380.645268165131,378.8346,22.41323,84.67899,86.61412,627.7006,15.72097
3.499997,S,3.499997,0.3462053,0.479765,0.2565866,0.05333575,582.6586,122.9027,14.45023,3.021665,77.65268,95.35464,2.212746,116.703466835501,116.0124,12.68157,392.357911333722,390.4749,23.72379,84.86416,86.52319,666.2242,18.02857
3.599997,S,3.599997,0.3566265,0.6041175,0.2561067,0.06873687,582.5806,122.5654,15.2834,4.125764,77.59904,95.35464,2.21945,116.856309059658,116.2292,12.09008,404.080792998265,402.1327,24.96053,84.97575,86.44819,705.913,20.46328
3.699997,S,3.699997,0.3670621,0.6351959,0.2554742,0.07340476,582.5089,122.2282,16.12792,4.660187,77.5454,95.35464,2.226155,117.020071474884,116.4161,11.87387,415.815042329858,413.8058,26.1578,85.00039,86.38299,746.7682,23.01937
3.799997,S,3.799997,0.3775123,0.5776919,0.2546476,0.06773601,582.4206,121.8914,16.97915,4.541298,77.49177,95.35464,2.23286,117.188480535906,116.5659,12.06362,427.561166355445,425.4908,27.35535,84.93694,86.32144,788.7914,25.69487
3.899997,S,3.899997,0.3880023,0.4481785,0.2537097,0.05350892,583.0353,121.5543,17.84281,3.783375,77.43813,95.35464,2.239565,117.551454370658,116.869,12.64837,439.348794100765,437.2133,28.59538,84.79675,86.25797,831.9854,28.49194
3.999997,S,3.999997,0.3985182,0.2728657,0.2528072,0.03365117,583.1165,121.2172,18.72701,2.505818,77.38449,95.35464,2.246269,117.780350343606,117.0026,13.51305,451.159111578537,448.9512,29.90986,84.60211,86.1885,876.3524,31.41649
4.099999,S,4.099999,0.409049,0.08349717,0.2520582,0.01178817,582.9787,120.8805,19.63994,0.9232109,77.33085,95.35464,2.252974,117.954182581443,117.0557,14.53108,462.980158488963,460.6903,31.31994,84.38264,86.11074,921.8932,34.47716
4.200001,S,4.200001,0.4195966,-0.08774761,0.2514909,-0.008343471,582.937,120.544,20.58554,-0.6863567,77.27721,95.35464,2.259679,118.150762334115,117.1229,15.55085,474.814714730811,472.4325,32.83312,84.17046,86.02445,968.6082,37.68398
