Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.95,4,0.0846237718467825834076591771,0.10369868698834,0.102706270272132,0.0850375616992032,0.0840427216025207,0.263966344181472,0.2704877626795430466011699770,0.1862516504950406466011699770,0.0842361121845024,3.8744510750444077651464226507,53.94889035760832629828600532,53.948887164553959782889709503,1341983000
16.96,4,0.0846197193086723914076591771,0.103690595593415,0.102699300452925,0.0850334893451582,0.0840397735629666,0.263908933000709,0.2704300051595204189490146176,0.1862079460477075189490146176,0.0842220591118129,3.8736237592473659134882979896,53.943586364960834269615293431,53.94358316906941474495634807,1342774000
16.97,4,0.0846156812874441184076591771,0.103682523100763,0.102692347633488,0.0850294315789791,0.0840368382041306,0.263851583142448,0.2703723099984652732741327920,0.1861642745429518732741327920,0.0842080354555134,3.8727973366770684956233196924,53.938279938156810408669382512,53.938276739428138899454357746,1343566000
16.98,4,0.0846116378182337764076591771,0.103674449718118,0.102685392025859,0.0850253683381787,0.0840338954678385,0.263794299171335,0.2703146803695653469782989987,0.1861206392226847469782989987,0.0841940411468806,3.8719718527861038373514805968,53.93296136536388063187288876,53.932958163796067957836848678,1344358000
16.99,4,0.0846075998995253954076591771,0.103666387847585,0.102678446036432,0.0850213106750209,0.0840309564106551,0.263737100004752,0.2702571360095489055055950548,0.1860770598923555055055950548,0.0841800761171934,3.8711475902822688320770758242,53.927662734542460649831919303,53.927659530139845418154035669,1345149000
17.00,4,0.0846035744931510424076591771,0.103658343913331,0.102671516093654,0.0850172655853794,0.084028028032743,0.263679977222298,0.2701996689669506435774316356,0.1860335286692214435774316356,0.0841661402977292,3.8703244352692333999742845348,53.922365506729072441033011567,53.922362299492508052582665658,1345941000
17.01,4,0.0845995545976018984076591771,0.103650310470085,0.102664594756519,0.0850132260335096,0.0840251033026343,0.263622925212887,0.2701422731252951056059407011,0.1859900395055289056059407011,0.0841522336197662,3.8695023001349308400732155287,53.917078302675406044082542268,53.917075092607261506413533979,1346733000
17.02,4,0.0845955282480282754076591771,0.103642276638264,0.102657671149699,0.0850091799960568,0.0840221702012386,0.26356596075278,0.2700849644613519760120646930,0.1859466084467694760120646930,0.0841383560145825,3.8686814137297314781738616498,53.911799238950572622832769958,53.911796026053067963482557889,1347525000
17.03,4,0.0845915164062729104076591771,0.103634262651822,0.10265076551139,0.085005148537362,0.0840192497971496,0.263509071230999,0.2700277318066095745076502153,0.1859032243931526745076502153,0.0841245074134569,3.8678616160764787752848202947,53.906513522289049473605255805,53.906510306561439424161831901,1348316000
17.04,4,0.0845875190708376234076591771,0.10362626761183,0.102643876946892,0.0850011316559197,0.0840163420931024,0.263452243813548,0.2699705622959228946652100668,0.1858598745482572946652100668,0.0841106877476656,3.8670427228955855163716660647,53.901247544817174263451904475,53.901244326263725038611769059,1349108000
17.05,4,0.0845835162768833374076591771,0.10361827170901,0.102636985651148,0.0849971092892676,0.0840134270308632,0.263395482821443,0.2699134588582510212720937729,0.1858165619097631212720937729,0.0840968969484879,3.8662247761412735680688100413,53.895977825227087184966872808,53.895974603847556517687865834,1349900000
17.06,4,0.0845795179862633694076591771,0.103610287216711,0.102630103901711,0.0849930914479699,0.0840105146252132,0.263338820264135,0.2698564542815105598271158132,0.1857733193343091598271158132,0.0840831349472014,3.865408245465880877320315424,53.890709716785638127868720065,53.890706492581312838550787751,1350691000
17.07,4,0.0845755331608345474076591771,0.103602320193042,0.102623237760885,0.084989087137705,0.0840076138860353,0.263282213674639,0.2697995066250500100776964610,0.1857301049499650100776964610,0.084069401675085,3.8645925301137962839907092553,53.885453629170560587459951241,53.885450402144064151065541076,1351483000
17.08,4,0.0845715428724238564076591771,0.103594353543896,0.102616370138747,0.0849850773377455,0.0840047057967955,0.263225691268837,0.2697426428438837265030668915,0.1856869457804684265030668915,0.0840556970634153,3.8637780161871945730455661326,53.880209063925280494711227961,53.880205834079626635252220809,1352275000
17.09,4,0.0845675670828950924076591771,0.103586406996955,0.102609520767149,0.084981082107564,0.0840018104211474,0.263169247601127,0.2696858588821019899512985674,0.1856438378386307899512985674,0.0840420210434712,3.8629646455894376378891811793,53.874956588546599422566673421,53.874953355881033995980135852,1353067000
